VTU;species;sex;p;lcl;ucl
VTU38_Phasma;Aedes aegypti;F;0;0;0.003270978
VTU39_Parvo;Aedes aegypti;F;0.000936251;5.41E-05;0.004596164
VTU40_Rhabdo;Aedes aegypti;F;0;0;0.003270978
VTU41_Tombus;Aedes aegypti;F;0;0;0.003270978
VTU42_Partiti;Aedes aegypti;F;0;0;0.003270978
VTU43_Partiti;Aedes aegypti;F;0;0;0.003270978
VTU44_Partiti;Aedes aegypti;F;0;0;0.003270978
VTU45_Phenui;Aedes aegypti;F;0.070250737;0.040834925;0.162915999
VTU46_Ifla;Aedes aegypti;F;0.016442124;0.008916423;0.029316396
VTU47_Phenui;Aedes aegypti;F;0;0;0.003270978
VTU1_Toti;Aedes aegypti;M;0.031325155;0.017384344;0.057656967
VTU2_Xinmo;Aedes aegypti;M;0.003674516;0.000992044;0.00993504
VTU3_Spinareo;Aedes aegypti;M;0.022040797;0.012024349;0.039529544
VTU4_Mesoni;Aedes aegypti;M;0;0;0.004103519
VTU5_Dicistro;Aedes aegypti;M;0.001171038;6.87E-05;0.005679731
VTU6_Qin;Aedes aegypti;M;0.00526223;0.001719047;0.012923146
VTU7_Bunya_unclass;Aedes aegypti;M;0;0;0.004103519
VTU8_Flavi;Aedes aegypti;M;0;0;0.004103519
VTU9_Rhabdo;Aedes aegypti;M;0;0;0.004103519
VTU10_Noda;Aedes aegypti;M;0;0;0.004103519
VTU11_Nege;Aedes aegypti;M;0.001171038;6.87E-05;0.005679731
VTU12_Permutotetra;Aedes aegypti;M;0;0;0.004103519
VTU13_Wolfram_unclass;Aedes aegypti;M;0;0;0.004103519
VTU14_Virga;Aedes aegypti;M;0;0;0.004103519
VTU15_Toli_unclass;Aedes aegypti;M;0;0;0.004103519
VTU16_Spinareo;Aedes aegypti;M;0;0;0.004103519
VTU17_Luteo_unclass;Aedes aegypti;M;0.002425518;0.000440054;0.008005897
VTU18_Luteo_unclass;Aedes aegypti;M;0.002425518;0.000440054;0.008005897
VTU19_Virga;Aedes aegypti;M;0;0;0.004103519
VTU20_Martelli_unclass;Aedes aegypti;M;0;0;0.004103519
VTU21_Luteo_unclass;Aedes aegypti;M;0;0;0.004103519
VTU22_Toli_unclass;Aedes aegypti;M;0.003635958;0.000987101;0.009768103
VTU23_Lefa_unclass;Aedes aegypti;M;0.014160901;0.007014095;0.02682313
VTU24_Noda;Aedes aegypti;M;0;0;0.004103519
VTU25_Rhabdo;Aedes aegypti;M;0;0;0.004103519
VTU26_Circo;Aedes aegypti;M;0;0;0.004103519
VTU27_Rhabdo;Aedes aegypti;M;0.04574061;0.026783218;0.08386414
VTU28_Nudi;Aedes aegypti;M;0.008658163;0.003542416;0.018638228
VTU29_Ifla;Aedes aegypti;M;0.018533004;0.009928774;0.033339845
VTU30_Nege;Aedes aegypti;M;0;0;0.004103519
VTU31_Partiti;Aedes aegypti;M;0;0;0.004103519
VTU32_Nege;Aedes aegypti;M;0.021618544;0.011863298;0.038459502
VTU33_Orthomyxo;Aedes aegypti;M;0;0;0.004103519
VTU34_Orthomyxo;Aedes aegypti;M;0;0;0.004103519
VTU35_Mesoni;Aedes aegypti;M;0;0;0.004103519
VTU36_Luteo;Aedes aegypti;M;0;0;0.004103519
VTU37_Ifla;Aedes aegypti;M;0;0;0.004103519
VTU38_Phasma;Aedes aegypti;M;0;0;0.004103519
VTU39_Parvo;Aedes aegypti;M;0.005005029;0.001673386;0.011981472
VTU40_Rhabdo;Aedes aegypti;M;0;0;0.004103519
VTU41_Tombus;Aedes aegypti;M;0;0;0.004103519
VTU42_Partiti;Aedes aegypti;M;0;0;0.004103519
VTU43_Partiti;Aedes aegypti;M;0;0;0.004103519
VTU44_Partiti;Aedes aegypti;M;0;0;0.004103519
VTU45_Phenui;Aedes aegypti;M;0.037809786;0.023383451;0.063036805
VTU46_Ifla;Aedes aegypti;M;0.012516453;0.005840597;0.02479928
VTU47_Phenui;Aedes aegypti;M;0;0;0.004103519
